,title,level,notes,score
864,R5,11,889,1776
865,ra'am,12,1461,2890
866,Radical Faith,7,660,1313
867,rage against usual,12,1527,3021
868,RAGE feat.H14 of LEONAIR,12,1886,3662
869,RAIN,12,1657,3298
870,Rainbow after snow,10,1090,2178
871,rainbow flyer,11,1081,2156
872,rainbow guitar weeps,11,1406,2795
873,rainbow rainbow,11,1377,2744
874,Rainstorm,10,1146,2289
875,Raison d'etre～交差する宿命～,11,1389,2766
876,Rampage,12,1831,3651
877,Raspberry♡Heart(English version),9,932,1864
878,Raspberry Railgun,12,1606,3203
879,Rave Cannon,12,1700,3376
880,Rave Patroller,12,1705,3400
881,Rave*it!! Rave*it!! ,12,1656,3305
882,Real,9,920,1833
883,Realize Maze,11,1503,3004
884,Really Love,10,898,1781
885,Recollection,9,1118,2234
886,Red Soul,11,1494,2965
887,RED ZONE,11,1184,2364
888,Red. by Full Metal Jacket,12,1643,3257
889,Red. by Jack Trance,12,1862,3693
890,Reflux,12,1574,3100
891,refractive index,11,1360,2718
892,refrain,12,1857,3686
893,Re:GENERATION,10,1145,2280
894,Regulus,10,881,1750
895,REINCARNATION,7,643,1285
896,Rejection Girl,11,1352,2691
897,Release The Music,10,1081,2154
898,Remedy feat. Kanae Asaba,10,1116,2229
899,REMINISCENCE,10,1183,2362
900,REPLAY,10,1141,2280
901,RESISTANCE,10,1198,2392
902,RESONATE 1794,11,951,1898
903,reunion,12,1677,3318
904,REVOLVER,11,1405,2789
905,Rewind Time,10,1107,2214
906,RIDE ON THE LIGHT (HI GREAT MIX),8,862,1724
907,RINИE,12,1788,3550
908,RISE,10,951,1898
909,Rise'n Beauty,10,1094,2187
910,RISING FIRE HAWK,11,1372,2734
911,Rising in the Sun(original mix),11,1202,2394
912,RISLIM,7,625,1243
913,RISLIM -Remix-,11,959,1900
914,Ristaccia,12,1386,2770
915,Ritual of Anubis,11,1422,2836
916,RIZING YOU UP,10,1295,2587
917,Rock It,11,1500,2255
918,Rock Da House,11,1128,2255
919,ROCK女 feat. 大山愛未， Ken,11,1436,2824
920,Romanticが止まらない,11,1367,2734
921,rommmo,12,1762,3509
922,R∞tAge,11,1503,3001
923,Roots of my way!,9,1025,2047
924,Rosa azuL,11,1417,2815
925,rottel-da-sun,10,936,1872
926,rottel-the-Mercury,10,1137,2274
927,ROTTERDAM SHOGUN,11,1299,2595
928,rough percussionythm,11,1295,2571
929,Roulette,10,1073,2141
930,Round and Round,9,1088,2175
931,route 80s,9,766,1531
932,Routing,11,1323,2595
933,Rowdy,10,1256,2506
934,Rub-a Dub-a,10,1102,2203
935,Rubrum Piano,11,1253,2495
936,RUGGED ASH,9,556,1101
937,ruin of opals,12,1646,3230
938,Ruler or Loser,11,1339,2675
939,rumrum triplets,11,1541,3059
940,S!ck,11,1373,2731
941,S!ck (Nhato Remix),11,1279,2549
942,S-Bahn,9,1092,2184
943,SA.YO.NA.RA. SUPER STAR,10,868,1730
944,SABER WING,11,1438,2867
945,Sakura Mirage,11,1190,2374
946,Sakura Reflection,11,1190,2376
947,sakura storm,12,1225,2438
948,SAMSARA,10,1031,2061
949,SAMURAI-Scramble,11,1232,2443
950,Sarutobi Champion is 拙者,11,1153,2285
951,satellite020712 from "CODED ARMS",11,1293,2570
952,satfinal,9,963,1925
953,Saturn,11,1332,2658
954,SAY BAY,12,1455,2891
955,Say YEEEAHH,12,1677,3330
956,Scandal,11,1476,2928
957,scar in the earth,8,766,1530
958,Scarlet Moon,11,1389,2771
959,Scars of FAUNA,11,1475,2939
960,Scharfrichter,11,1472,2933
961,Schlagwerk,8,848,1696
962,SCHWARZSCHILD FIELD,11,1232,2446
963,SCORE,10,1055,2107
964,SCREAM SQUAD,12,1073,2133
965,SCREW // owo // SCREW,12,1567,3069
966,Scripted Connection⇒ A mix,12,1575,3150
967,Scripted Connection⇒ H mix,11,1275,2543
968,Scripted Connection⇒ N mix,10,1073,2137
969,Seaside Labyrinth,9,953,1895
970,Second Heaven,11,1069,2134
971,Secret of Love,11,1019,2035
972,Secrets,11,1592,3184
973,SEITEN NO TERIYAKI,11,1163,2299
974,Selfish Sweet,9,877,1744
975,Sense 2007,12,1517,3008
976,Sephirot,10,1193,2377
977,SEQUENCE CAT,11,1446,2884
978,Seraph,11,1227,2454
979,Serious?,10,1142,2268
980,Session 1 -Genesis-,11,1240,2473
981,Session 9 -Chronicles-,12,1852,3668
982,Set U Free feat. Kanae Asaba,10,1290,2575
983,Several Words,10,1098,2194
984,SHADE,11,1464,2925
985,Shadow World,11,1369,2738
986,She is my wife,10,1002,1996
987,SHELTER OF THE MIND,11,1538,3075
988,Shining World,9,976,1952
989,SHION,10,1359,2714
990,Shiva,11,1085,2164
991,Shooting Fireball,12,1983,3958
992,SHOOTING STAR,9,1146,2289
993,shuriken,10,1298,2587
994,Sigmund,12,2029,3989
995,SigSig,10,1309,2615
996,Silly Love,10,1061,2108
997,Silver Bullet,12,1662,3257
998,Silvia Drive,9,1049,2090
999,SINOBUZ Fantasy,10,1228,2450
1000,Sinus Iridum,12,1803,3503
1001,Ska-sh All Neurons!!,10,1176,2348
1002,Skreaming for Salvation,12,1625,3228
1003,Sky High,12,1943,3857
1004,Skyscraper,7,629,1255
1005,Sleepless days,9,788,1576
1006,Slipstream,12,1822,3611
1007,Smalt #28598F,12,1725,3434
1008,Smashing Wedge,12,1957,3875
1009,smile,11,1464,2924
1010,smooooch・∀・,10,1089,2173
1011,smooooch・∀・ (Snail's House Remix),10,1193,2378
1012,Snake Stick,12,1447,2833
1013,Snakey Kung-fu,12,1751,3480
1014,SNOW,10,1038,2073
1015,Snow Goose,11,1238,2463
1016,snow storm,10,1409,2814
1017,So Fabulous !!,10,1191,2379
1018,So Punky,10,1297,2589
1019,Sol Cosine Job 2,12,1625,3214
1020,soldier's waltz,10,1264,2518
1021,SOLID STATE SQUAD,12,1819,3622
1022,SOLID STATE SQUAD -RISEN RELIC REMIX-,12,1670,3317
1023,SOLID WYVERN,11,1333,2654
1024,SOLITON BEAM,10,1187,2370
1025,Somebody Like You,9,933,1856
1026,SOMETHING WONDERFUL,10,1003,2002
1027,sometime,8,672,1338
1028,Somnidiscotheque,12,1776,3407
1029,Sorrows,10,1241,2482
1030,Souhait bleu,11,1407,2790
1031,SOUND OF GIALLARHORN,11,1668,3330
1032,Sounds Of Summer,12,1513,3017
1033,SP-TRIP MACHINE(for beatmania II),4,324,648
1034,SPACE FIGHT,11,1134,2264
1035,Space Time,10,1114,2227
1036,SpaceLand☆TOYBOX,12,1501,2988
1037,Sparkle Smilin',11,1243,2475
1038,Special One,9,895,1789
1039,SPECIAL SUMMER CAMPAIGN!,12,1509,3012
1040,SPEED DEMON,10,1198,2378
1041,SPEED ROCKER,10,1175,2338
1042,SPEEDY CAT,9,1028,2052
1043,Sphere,10,1111,2218
1044,Spica,11,1167,2306
1045,Spin the disc,8,674,1347
1046,spiral galaxy,11,1310,2614
1047,Squeeze,11,1257,2498
1048,STAR FIELD,9,947,1893
1049,Star Trail,10,942,1880
1050,STARLiGHT,11,1413,2810
1051,STARLIGHT DANCEHALL,11,1342,2679
1052,STARLIGHT JUNCTION,10,1150,2299
1053,starmine,9,800,1599
1054,State Of The Art,11,1570,3134
1055,Static State,10,1218,2429
1056,Stay my side,8,678,1356
1057,Steel Edge,12,1604,3200
1058,STEEL NEEDLE,11,1269,2526
1059,STELLAR WIND,11,1370,2707
1060,Stepper,10,1105,2204
1061,STILL IN MY HEART,9,971,1939
1062,still my words,6,619,1238
1063,stoic,11,1302,2599
1064,STOIC HYPOTHESIS,11,1442,2869
1065,STRAIGHT TO THE STARS,11,1506,3009
1066,StrayedCatz,12,1490,2927
1067,STULTI,12,1416,2792
1068,Sugar Drippin',9,1069,2124
1069,Sugarplum,10,1265,2527
1070,Summer Vacation(CU mix),9,949,1879
1071,Summerblue,10,1232,2458
1072,Summerlights(IIDX Edition),12,1580,3148
1073,Sun Field,11,1234,2463
1074,Sunny Day Vibes,10,1150,2297
1075,Super Duper Racers,10,1199,2393
1076,Super Freak,12,1754,3499
1077,Super Rush,12,1791,3567
1078,Surf on the Light,10,1154,2292
1079,SURVIVOR,9,1014,2025
1080,Swarm Of Scarabs,11,1212,2416
1081,Sweet Clapper,10,959,1918
1082,SWEET LAB,10,692,1382
1083,Sweet Radar,10,1020,2039
1084,Sweet Sweet♡Magic,10,1032,2062
1085,SWEETEST SAVAGE,11,930,1851
1086,switch,11,1069,2127
1087,symbolic,10,1138,2272
1088,Symmetry,12,1659,3308
1089,sync,10,1204,2404
1090,SYNC-ANTHEM,12,1865,3719
1091,Synergy For Angels,11,1400,2795
1092,T-REX vs Velociraptor (In the Far east euphoria),12,1636,3254
1093,TA・DA ☆ YO・SHI,10,1180,2352
1094,Tail Lights,11,1589,3160
1095,Take It Easy,11,1282,2543
1096,take me higher,10,1015,2024
1097,Take My Life,11,1487,2962
1098,Tangerine Stream,3,198,396
1099,Technicolour Dreams,10,1202,2403
1100,TECHNO Style Essentials,12,1453,2896
1101,TECHNOPHOBIA,12,1544,3071
1102,Tell me what you wish feat.らっぷびと,11,1436,2866
1103,Temple of Anubis,11,1345,2681
1104,THANK YOU FOR PLAYING,10,1090,2164
1105,That Feeling,10,973,1939
1106,The Best of Both Worlds,10,1128,2250
1107,THE BLACK KNIGHT,11,1488,2963
1108,THE BRAVE MUST DIE,12,2075,4120
1109,THE CANNONBALLER,11,1748,3477
1110,The Chase,12,1148,2264
1111,The Clown of 24stairs,12,1788,3503
1112,The Commanders,10,1227,2454
1113,THE CUBE,7,682,1364
1114,THE DAY OF JUBILATIONS,12,1757,3493
1115,THE DEEP STRIKER,11,1528,3048
1116,THE DETONATOR,11,1636,3248
1117,The Dirty of Loudness,11,1327,2650
1118,THE DOOR INTO RAINBOW,10,1123,2228
1119,THE EARTH LIGHT,8,581,1162
1120,THE FALLEN,11,1377,2741
1121,THE F∀UST,12,1851,3659
1122,The Hope of Tomorrow,10,992,1975
1123,THE LAST STRIKER,11,1327,2648
1124,The Least 100sec,12,1505,2981
1125,The Limbo,12,1701,3393
1126,THE PEERLESS UNDER HEAVEN,12,1818,3553
1127,The Rebellion of Sequencer,12,1634,3204
1128,THE SAFARI,10,900,1795
1129,The Sampling Paradise,12,1545,3069
1130,The Sealer 〜ア・ミリアとミリアの民〜,10,1117,2232
1131,the shadow,11,1480,2938
1132,THE SHINING POLARIS,8,799,1595
1133,THE SHINING POLARIS(kors k mix),11,1645,3280
1134,The Sky of Sadness,10,1215,2421
1135,The Smile of You,8,815,1630
1136,The Story Begins,10,1232,2460
1137,THE TIME MACHINE,11,1350,2691
1138,the trigger of innocence,9,924,1848
1139,The Wind of China Express(The 4th Mashup),10,1283,2565
1140,Theory,11,1342,2654
1141,This is Love,10,1249,2493
1142,(This Is Not) The Angels,11,1364,2722
1143,Thor's Hammer,12,1641,3120
1144,thunder,9,959,1905
1145,thunder HOUSE NATION Remix,9,1242,2482
1146,Thunderbolt,12,1911,3807
1147,TIEFSEE,12,1752,3500
1148,Tiempo Loco,12,1884,3756
1149,Time to Air,11,1458,2905
1150,Time To Empress,10,1324,2638
1151,Timepiece phase II,12,1665,3309
1152,Timepiece phase II (CN Ver.),12,1546,3065
1153,TITANS RETURN,11,1275,2539
1154,Tizona d'El Cid,10,1178,2349
1155,Todestrieb,12,1733,3458
1156,TOGAKUSHI,12,1343,2673
1157,TOMAHAWK,12,1830,3608
1158,Tomorrow Perfume,9,1085,2164
1159,Tori-no-kimochi,10,1030,2051
1160,TOXIC VIBRATION,12,1933,3829
1161,toy boxer,10,1122,2240
1162,ToyCube Pf.(RX-Ver.S.P.L.),9,1153,2300
1163,traces,10,1083,2164
1164,TRANOID,11,1141,2265
1165,Trill auf G,12,1670,3315
1166,TRIP MACHINE PhoeniX,10,935,1859
1167,Triple Counter,12,2016,4009
1168,Triple Cross,12,1667,3323
1169,tripping contact(teranoid&MC Natsack Remix),11,1258,2501
1170,TRIUMPH,12,1724,3423
1171,TROOPERS,12,1496,2984
1172,Tropical April,11,1395,2777
1173,True Blue,12,1898,3790
1174,Turii ～Panta rhei～,10,1347,2692
1175,Twelfth Style,10,1033,2058
1176,Twilight Warp,9,1083,2165
1177,TYPE MARS(G-Style Mix),11,1237,2449
1178,U.S.A.,11,1467,2924
1179,Ubertreffen,11,1280,2551
1180,Uh-Oh,11,1228,2448
1181,ULTiMΛTE,9,1006,2010
1182,Umbral,10,966,1930
1183,UMMU,11,1587,3148
1184,Unbelief,12,1675,3290
1185,Under the Sky,9,875,1749
1186,UNDERWORLD HOLOGRAPHY,11,1648,3285
1187,Unicorn tail,11,1605,3175
1188,UNITE THE HEART,11,1676,3342
1189,Urban Constellations,11,1167,2314
1190,Usual Days-remix,11,1364,2714
1191,V,12,1519,3038
1192,V2,11,1810,3615
1193,Valanga,12,1647,3283
1194,Valgus,11,1206,2401
1195,VALKYRIAS -英雄誕生-,11,1386,2770
1196,VALLIS-NERIA,11,1507,2989
1197,VANESSA,12,1228,2455
1198,vault of heaven,10,1010,2018
1199,VEGA,11,1584,3156
1200,Venom,12,1624,3227
1201,Ventriloquist,11,1232,2460
1202,Verflucht,12,1805,3602
1203,Vermilion,10,1043,2074
1204,Vermillion,10,1045,2086
1205,VIBRΛ,10,941,1880
1206,Victory Of Ravers,11,1301,2596
1207,Vinculum stellarum,12,1873,3719
1208,Violet Pulse,10,1252,2495
1209,Violet Rose,11,1333,2646
1210,Viridian,12,1700,3386
1211,Virus Funk,10,1119,2232
1212,Visterhv,12,1869,3729
1213,Vitrum,12,1848,3647
1214,VJ ARMY,10,1149,2267
1215,VOLAQUAS,12,1982,3928
1216,VOLCANIC BIGBEAT,11,1444,2878
1217,Volcanic Dragon,11,1495,2988
1218,Voltage (feat. Hidemaru),8,670,1338
1219,voltississimo,12,1888,3727
1220,Voo Doo Bamboleo,10,1262,2514
1221,Votania Beat,10,1284,2562
1222,Votum stellarum,10,1017,2027
1223,VOX UP,12,1870,3707
1224,Voxane,9,881,1757
1225,VR - Virtual Reality (prod.by Snail's House),9,918,1836
1226,Vulkan,11,1518,3029
1227,WAKE UP NOW,9,1008,2016
1228,"wanna be a ""BAD GIRL"" feat. Nana Takahashi",9,1029,2058
1229,Wanna Party?,8,762,1524
1230,WAR GAME,10,1077,2154
1231,Warrior,10,1257,2508
1232,Watch Out Pt.2,12,1506,2981
1233,Watch out!!,9,837,1655
1234,waxing and wanding,11,1457,2909
1235,We are Disっ娘よっつ打ち命,9,837,1674
1236,We're so Happy (P*Light Remix) IIDX ver.,12,1896,3761
1237,Welcome,11,1357,2700
1238,WHA,12,1946,3783
1239,When I Met U,10,1033,2062
1240,Why did you go away,10,1166,2330
1241,Wing of Hearts,10,1473,2943
1242,Winner's Proof ft. KANASA from bless4,10,1118,2233
1243,WISE UP!,9,803,1602
1244,WISH(EUROBEAT MIX),9,990,1979
1245,with you…,9,891,2581
1246,With You,11,1296,1781
1247,With your Smile,8,788,1576
1248,Wolf 1061,11,1584,3153
1249,Won(*3*)Chu KissMe!,10,1263,2523
1250,Wonder Bullfighter,11,1062,2106
1251,Wonder Girl feat. Kanae Asaba,11,1414,2825
1252,WONDER WALKER,12,1921,3827
1253,Wonderful Escape,10,1052,2103
1254,Wonderland,11,1393,2765
1255,World Wide Love,5,559,1118
1256,Wuv U,10,861,1722
1257,X,12,1952,3892
1258,X-ray binary,11,1417,2827
1259,XANADU OF TWO,10,1382,2764
1260,xenon,11,1379,2755
1261,XENON II ～TOMOYUKIの野望～,11,1523,3032
1262,Xepher,11,1520,3031
1263,Xerulean,12,1802,3533
1264,XINOBIKILL,11,1475,2935
1265,Xlo,12,1988,3887
1266,Xperanza,12,1637,3259
1267,Xyndrome,11,1495,2972
1268,Y&Co. is dead or alive,12,1478,2874
1269,YAKSHA,12,2000,3966
1270,yamabiko (SINOBUZ Edition),11,1345,2677
1271,yellow head joe,10,1152,2298
1272,Yellow Sketch(RX-Ver.S.P.L.),11,1479,2928
1273,Yellow Sunrise,10,1145,2290
1274,You'll say "Now!",11,1276,2533
1275,Ypsilon,11,1466,2922
1276,Yum Yum Jelly,11,1204,2404
1277,ZED,11,1405,2796
1278,ZENDEGI DANCE,11,1393,2778
1279,ZEИITH,11,1531,3040
1280,Zenith,11,1128,2209
1281,Zenius -I- vanisher,10,1209,2414
1282,ZEPHYRANTHES,11,1499,2984
1283,ZERO-ONE,10,1132,2257
1284,ZETA～素数の世界と超越者～,11,1583,3155
1285,Zirkfied,12,1968,3919
1286,ZZ,12,1541,3077
1287,& Intelligence,11,1623,3226
1288,-65℃,12,1912,3790
1289,.59,7,584,1166
1290,100％ minimoo-G,11,903,1775
1291,10000 MILES AWAY,11,1494,2972
1292,1001 -ESCAPE-,10,1327,2650
1293,"19,November",8,910,1817
1294,199024club -Re:BounceKiller-,12,1260,2464
1295,1st Samurai,11,1383,2753
1296,2 Beasts Unchained,12,1780,3505
1297,2 Player,10,1302,2589
1298,2 tribe 4 K,11,1402,2795
1299,22DUNK,5,329,658
1300,24th Century BOY,11,1456,2903
1301,250bpm,10,726,1445
1302,255,12,1676,3333
1303,27th style,11,1299,2590
1304,2hot2eat,9,854,1690
1305,≡+≡,11,1520,3007
1306,3!dolon Forc3,12,1513,3036
1307,3V0,11,1530,3047
1308,3y3s,12,1871,3687
1309,405nm (Ryu☆mix),11,1301,2595
1310,5.1.1.,10,786,1572
1311,50th Memorial Songs -Beginning Story-,10,1378,2750
1312,50th Memorial Songs -Flagship medley-,10,1157,2298
1313,50th Memorial Songs -二人の時 ～under the cherry blossoms～-,10,1311,2622
1314,50th Memorial Songs -The BEMANI History-,11,1348,2684
1315,532nm,11,1349,2688
1316,7 Colors,10,970,1940
1317,808monkey,9,914,1825
1318,8bit Princess,10,1319,2638
1319,[ ]DENTITY,12,2000,3921
1320,二人ノ廃城幽踊宴,12,1927,3739
1321,ATHER,11,1440,2866
1322,牧神笛吹きて,11,1044,2084
1323,昏き甲鉄のヴェルガ,10,1177,2354
1324,山岡晃の「クイズ！家事都合！」,10,1035,2069
1325,アクマフカ,10,1168,2328
1326,少女アリスと箱庭幻想コンチェルト,10,1095,2185
1327,アルストロメリア,10,1254,2504
1328,オルタネイトβ,10,1137,2272
1329,天邪鬼,12,1693,3373
1330,雨のちパノラマセカイ,9,1112,2224
1331,蒼い衝動,8,803,1605
1332,あるビー！ feat.ころねぽち,11,1457,2902
1333,朝焼けから始まるボクらの小さな旅,11,1298,2572
1334,妖隠し -あやかしかくし-,10,1103,2203
1335,紫陽花 -AZISAI-,12,1490,2940
1336,■□模様,10,1337,2663
1337,バ→ビ→ブ→Bomb!,11,1294,2576
1338,バビロニア,8,940,1877
1339,バッド・スイーツ、バッド・ドリーム,12,1862,3655
1340,バッドエンド・シンドローム,11,1497,2984
1341,爆ゼニ☆がってんワーカー,11,1391,2765
1342,アストライアの双皿,12,1632,3234
1343,バンブーソード・ガール,11,1261,2475
1344,ベィスドロップ・フリークス,10,1143,2274
1345,バスルーム ロマンス,10,1228,2452
1346,ビューティフルレシート,10,978,1952
1347,紅牡丹,12,1445,2884
1348,青の洞窟,11,1600,3185
1349,ミストレス・アンに花束を,8,718,1435
1350,雪上断火,12,1544,3046
1351,刃図羅,12,1746,3466
1352,お菓子の王国,12,2109,4157
1353,カジノファイヤーことみちゃん,11,1271,2503
1354,罪過の聖堂,10,1080,2109
1355,きゅんです。,10,1177,2354
1356,子供の落書き帳,12,1395,2739
1357,中華急行,10,1167,2331
1358,ちらちら・はらはら,7,715,1429
1359,超!!遠距離らぶ♡メ～ル,10,1352,2691
1360,ちょえちょえまぎか,11,1529,3054
1361,コスモス,9,1049,2098
1362,クルクル☆ラブ～Opioid Peptide MIX～,10,1144,2283
1363,打打打打打打打打打打,11,1342,2677
1364,抱きしめてモナムール,12,2110,4194
1365,デモーニッシュ,11,1205,2408
1366,シムルグの目醒め,12,1822,3598
1367,龍と少女とデコヒーレンス,11,1515,3028
1368,ディスコルディア,12,2073,4054
1369,ディッシュウォッシャー◎彡おいわちゃん,11,1280,2544
1370,犬に雨傘,9,1069,2130
1371,ドッキン☆サマーあばんちゅーる,11,1447,2880
1372,童話回廊,12,1592,3138
1373,命の標本,11,1358,2703
1374,エコ爺,9,923,1846
1375,エディブルフラワーの独白,10,1110,2216
1376,栄冠のカンパネラ,12,2000,3974
1377,駅猫のワルツ,12,1558,2962
1378,煉獄のエルフェリア,12,2000,3970
1379,ΕΛΠΙΣ,12,1600,3177
1380,魅惑のYUMMYスイーツ,12,1586,3126
1381,焔極OVERKILL,12,1901,3754
1382,楽園追放,10,1228,2439
1383,電人、暁に斃れる。,12,1725,3445
1384,乱膳の舞姫,11,1382,2754
1385,不沈艦CANDY,12,1682,3347
1386,冬椿 ft. Kanae Asaba,10,1146,2291
1387,ガヴリールドロップキック,11,1362,2707
1388,がっつり陰キャ!? 怪盗いいんちょの億劫^^;,12,2192,4330
1389,月光,10,1246,2490
1390,創世ノート,11,1512,3017
1391,幻想系世界修復少女,10,1010,2012
1392,神のシナリオ,12,1652,3290
1393,神っぽいな,10,1078,2152
1394,グッバイ宣言,11,1557,3113
1395,グラナダの風,10,954,1890
1396,《GRANDMASTER》,11,1504,2993
1397,閠槞彁の願い,12,1613,3202
1398,ぐだふわエブリデー,11,1169,2314
1399,紅蓮華,9,748,1496
1400,ギョギョっと人魚♨爆婚ブライダル,10,1209,2411
1401,儚き恋の華,11,1515,3026
1402,儚キ戀ノ幻想譚,12,1808,3596
1403,花吹雪 ～ IIDX LIMITED ～,8,719,1438
1404,花冠 feat.Aikapin,11,1365,2684
1405,華爛漫 -Flowers-,10,1029,2058
1406,ハードベース・フェスタ,11,1447,2879
1407,ハリツヤランデヴー,10,1251,2497
1408,ハイ＊ビスカス ft. Kanae Asaba,10,1233,2460
1409,火影,12,1437,2816
1410,ヒマワリ,10,1042,2083
1411,卑弥呼,12,2119,4159
1412,開きたまえ！Next stAge！,11,1463,2911
1413,ハイテックトキオ,11,1367,2723
1414,烽火連天の刃,12,1771,3501
1415,お米の美味しい炊き方、そしてお米を食べることによるその効果。,10,1122,2234
1416,表裏一体！？怪盗いいんちょの悩み,12,1815,3624
1417,デッドボヲルdeホームラン,11,1417,2801
1418,あいつら全員同窓会,10,1031,2061
1419,愛しくてラヴィンユー ft. マナ,10,1209,2414
1420,いつかオトナになれるといいね。,11,1522,3044
1421,イザナミノナゲキ,12,1661,3303
1422,十六夜セツナ,10,1132,2261
1423,時空トラベローグ,11,1395,2730
1424,次葉-turn the page-,10,1003,2005
1425,純真可憐デザイア,10,1172,2343
1426,華蝶風雪,11,1500,2998
1427,蛇神,11,1438,2864
1428,下弦の月,9,1000,1996
1429,かげぬい ～ Ver.BENIBOTAN ～,9,980,1950
1430,陽炎,9,1010,2019
1431,カゴノトリ～弐式～,12,1325,2649
1432,X-DEN,12,2220,4292
1433,怪物,10,1205,2410
1434,革命,10,1183,2357
1435,鴉,11,1356,2711
1436,か・し・ま・し☆PUMP UP！,11,1453,2881
1437,かずあそび,8,852,1704
1438,少年A,12,1449,2874
1439,君のハートにロックオン,11,1363,2711
1440,恋はどう？モロ◎波動OK☆方程式!!,10,1247,2490
1441,恋は白帯、サンシロー,9,1021,2041
1442,恋する☆宇宙戦争っ！！,12,1835,3652
1443,金野火織の金色提言,12,1630,3202
1444,こっちを向いてよ,7,703,1400
1445,高高度降下低高度開傘,9,1005,2007
1446,口カラ凸ゲキ,10,1217,2418
1447,黒紅掬い,9,916,1831
1448,黒髪乱れし修羅となりて,12,1745,3488
1449,狂イ咲ケ焔ノ華,12,1860,3702
1450,キャトられ恋はモ～モク,12,1988,3920
1451,共犯ヘヴンズコード,10,1149,2291
1452,響花水月,11,1487,2962
1453,狂水一華,11,1370,2729
1454,共鳴遊戯の華,12,2000,3967
1455,九尾狐夜行,12,1521,3018
1456,ラストセンチュリーメランコリック,10,1108,2207
1457,ピアノ独奏無言歌 "灰燼",12,1977,3874
1458,疾風迅雷,12,1493,2943
1459,リリーゼと炎龍レーヴァテイン,12,1771,3517
1460,ライオン好き,7,755,1510
1461,ラブキラ☆スプラッシュ,10,1267,2531
1462,魔法のかくれんぼ,12,1454,2864
1463,#MAGiCVLGiRL_TRVP_B3VTZ,12,1753,3483
1464,まほろば,9,1033,2065
1465,真夏の花・真夏の夢,9,749,1492
1466,曼荼羅恋々,11,1392,2779
1467,マツケンサンバII,11,1460,2920
1468,量子の海のリントヴルム,11,1508,3016
1469,龍王の霊廟(Mausoleum Of The Primal Dragon),11,1614,3228
1470,めでてえ,10,1336,2667
1471,冥,12,2000,3926
1472,メイメツ、フラグメンツ,10,984,1968
1473,明鏡止水,11,1443,2859
1474,めいさいアイドル☆あいむちゃん♪,12,1717,3410
1475,ミッドナイト堕天使,11,1398,2796
1476,ミッドナイト☆WAR,11,1261,2522
1477,真夜中のバベル,9,877,1747
1478,水無月の雫 ft. 小林まな,10,1313,2622
1479,ミラージュ･レジデンス,10,1345,2681
1480,禊,12,1631,3233
1481,もっと！モット！ときめき feat. 松下,11,1424,2799
1482,霧幻メモリア,10,1026,2047
1483,ミュージック・アワー,11,1516,3027
1484,嘆きの樹,12,2000,3968
1485,†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),12,1835,3638
1486,夏色DIARY - L.E.D.-G STYLE MIX -,12,1590,3162
1487,夏の匂い。キミの残像。 ft. Kanae Asaba,10,1281,2561
1488,新時代,10,1171,2342
1489,ナイトフィクション,10,1087,2168
1490,ナイトシティー・アヴァンチュール,9,1047,2094
1491,虹色,9,934,1864
1492,IX,12,2007,3961
1493,星をこの手に,10,1099,2196
1494,朧,10,1060,2119
1495,オドループ,10,1175,2350
1496,踊,9,818,1632
1497,おーまい！らぶりー！すうぃーてぃ！だーりん！,11,1480,2942
1498,お願いアインシュタイン,10,1066,2131
1499,音楽,12,1487,2911
1500,鬼天,11,1265,2519
1501,おおきなこえで,7,754,1503
1502,オールトの雲,11,1335,2660
1503,大桟橋,9,937,1872
1504,ここからよろしく大作戦143,10,1264,2526
1505,俺ら東京さ行ぐだ,10,1011,2015
1506,《ORDERBREAKER》,11,1257,2493
1507,オレはビートマニア！お前は何マニア？,10,873,1740
1508,おとせサンダー,10,1088,2175
1509,パ→ピ→プ→Yeah!,11,1280,2558
1510,パラドキシカル・タイムリープトライアル(Short Ver.),11,1416,2811
1511,ピアノ協奏曲第１番”蠍火”,12,1414,2772
1512,ピアノ協奏曲第1番”蠍火” (BlackY Remix),12,1926,3811
1513,恋愛＝精度×認識力,12,1756,3468
1514,草原の王女-軌跡を辿って-,10,1172,2338
1515,未来のプリズム,9,893,1786
1516,ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！,11,1285,2559
1517,世界の果てに約束の凱歌を -ReUnion-,12,1983,3937
1518,天空脳番長危機十六連打,11,1323,2636
1519,ラキラキ,10,1001,1998
1520,ラクエン,11,1034,2047
1521,ランカーキラーガール,11,1479,2944
1522,生きるよすが,10,1256,2511
1523,リグレット,10,1223,2444
1524,錬成人間トリコロイダー,11,1613,3218
1525,深淵に捧ぐレクイエム,12,1537,3062
1526,輪廻の鴉,11,1398,2791
1527,凛として咲く花の如く,10,1398,2793
1528,突撃！ガラスのニーソ姫！,10,1066,2128
1529,シル・ヴ・プレジデント,10,901,1801
1530,逆月,12,1920,3798
1531,桜,12,1123,2222
1532,サクラあっぱれーしょん,9,1166,2330
1533,サヨナラ・ヘヴン,8,855,1701
1534,シュレーディンガーの猫,12,1717,3426
1535,セカンドピアス,9,1015,2030
1536,聖人の塔,12,1567,3116
1537,千年ノ理,12,1608,3209
1538,旋律のドグマ～Miserables～,12,2002,3987
1539,セピアの軌跡 ft. 天宮みや(少女フラクタル),10,1205,2405
1540,セロトニン,11,1194,2370
