"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"#MAGiCVLGiRL_TRVP_B3VTZ[A]","0.874115670506841","0.307782591276168","2.84004259916868","0.0175471142648474"
"-65℃[A]","1.35860820509644","0.519212834986654","2.61666914519046","0.025744460327372"
"199024club -Re_c_BounceKiller-[A]","0.840733989485127","0.290928746607103","2.88982783341287","0.0161119234198873"
"255[A]","0.963621812394475","0.338421311127286","2.84740286947249","0.0173270684647784"
"3y3s[A]","1.06463901102661","0.372294908402459","2.8596657837601","0.0169666166582448"
"3_e_dolon Forc3[A]","0.844716414891659","0.28984971517785","2.91432549579476","0.015449861429945"
"AA -rebuild-[A]","1.10869565775979","0.39329341290063","2.81900388207091","0.0181917607364224"
"AA[A]","1.20380736589507","0.43118071470012","2.79188591895233","0.019058007580784"
"Adularia[A]","0.933907503106092","0.334038742287093","2.79580594966866","0.018930265839824"
"AIR RAID FROM THA UNDAGROUND[L]","0.774443178493555","0.28578000375796","2.70992780568883","0.0219363291649169"
"AKASHIC BREAK[A]","0.73184920667036","0.25185236425225","2.90586593794035","0.0156753153696923"
"ALBIDA[A]","0.694975216851886","0.239791807299771","2.89824420891527","0.0158812905122326"
"Almagest[A]","1.25009664921952","0.457177807915757","2.73437736385024","0.0210347713071896"
"Amazing Mirage[L]","0.832707461890094","0.299074399379624","2.78428198340411","0.0193082740024555"
"ANCHOR[A]","0.975651793858808","0.347250428849311","2.80964892424133","0.0184860200875466"
"Ancient Scapes[L]","1.06690580234961","0.389781812676402","2.73718723565833","0.0209335681290565"
"Antigravity[A]","0.937225498509598","0.332475505629872","2.81893096676109","0.0181940359402945"
"AO-1[A]","0.878877504902872","0.309456126852135","2.84007143061937","0.0175462468314976"
"Apocalypse[A]","0.881591143019151","0.315832473176671","2.79132520526477","0.0190763502698353"
"Arabian Rave Night[L]","0.940113874621168","0.336019174504282","2.79779829829083","0.0188656718629918"
"Arca[A]","0.64343678473666","0.228089497778204","2.82098382873526","0.0181300891594077"
"Artist[A]","1.03064402819256","0.371163574012216","2.77679196008237","0.0195580219633818"
"ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS)[A]","0.95474492561043","0.332268951762345","2.87340999075144","0.0165716118193531"
"A[A]","0.659887174654666","0.225996698844553","2.91989740570748","0.0153031613024983"
"B4U(BEMANI FOR YOU MIX)[L]","0.971153578861182","0.347418482357511","2.79534229805833","0.0189453297894733"
"Bad Maniacs[A]","1.11200277390823","0.396684012105156","2.80324575726398","0.0186901896827664"
"BEAT PRISONER[A]","1.05433751532499","0.381622088676963","2.76277905972438","0.0200340214468037"
"Beat Radiance[L]","0.790545693357226","0.276788673806889","2.85613454656304","0.0170696297528307"
"BIGソムタム[A]","0.910498404081183","0.316783741217301","2.87419550189799","0.0165493190894713"
"BITTER CHOCOLATE STRIKER[A]","0.992333046524805","0.349408015523641","2.84004087610195","0.0175471661070197"
"BLACK or WHITE_q_[A]","1.09475007491131","0.41087587285794","2.6644301776508","0.0237182335403449"
"BLACK.by X-Cross Fade[A]","0.863280162454131","0.300443414834513","2.87335358283566","0.0165732138375381"
"BLUE DRAGON(雷龍RemixIIDX)[A]","0.837267384817292","0.291994716421443","2.86740594171863","0.0167430112695234"
"BLUE MIRAGE[A]","0.986922169311355","0.352312806197675","2.80126680594634","0.0187537480019721"
"Blue Rain[L]","0.873557007712943","0.307018808115199","2.84528825147796","0.01739000147197"
